Life is great,pos
I am strong,pos
I am healthy,pos
I am powerful,pos
I am dreadful fertile,pos
My body knows exactly what he is doing,pos
I am a great woman,pos
I achieved much in my life,pos
I am young lively attractive and I love my life,pos
I get what I should get,pos
I am patient and serene,pos
I love every moment of life,pos
I enjoy the dancing of life with all my heart,pos
I am fine as I am,pos
I have trust in my body,pos
I am listening to my inner voice,pos
My body wont abandon me,pos
My body is strong and doing well,pos
I feel alive,pos
I trust on my inner voice,pos
I have a great partner and great friends,pos
My life is fine and fullfilled,pos
All in good time,pos
I am thankful for all experiences that I make they are helping my on my way,pos
I thank my body for being able to trust in him,pos
I enjoy every day,pos
I am living here and now,pos
I am happy,pos
I am thankful,pos
I love,pos
I live,pos
I cry,pos
I laugh,pos
Time will show,pos
I am fine as I am,pos
I am living intensive and self-conscious,pos
My body knows very well what he is doing I listen to him,pos
I love my life,pos
I love my child soul,pos
If we wont make it who else,pos
Enjoy enjoy enjoy,pos
Life will win,pos
I fell well I am fertile and healthy and my life is great,pos
My husband is the best of all,pos
Thanks for being a healthy woman and having all nature needs,pos
Thanks for living and knowing that somewhere a little child soul is waiting for me,pos
Thanks for my body that he is always knowing what to do what is right for me and always doing the best,pos
Thanks for all my adenoids they are working timeless and everlasting and so every day is a new for me,pos
Thanks for the trust,pos
Thanks for being able to live here and now,pos
Mary doesnt drink coffee,neg
My brothers dont speak Chinese,neg
Jims best friends dont live near him,neg
I did not go to the store last week,neg
Lions do not eat grass,neg
Esther cant go tomorrow,neg
Some people wont eat spicy foods,neg
Bill hasn’t learned to type,neg
You should not cheat on tests,neg
He is not playing,neg
We are not playing,neg
I do not smoke,neg
He did not come,neg
They are not expected to come,neg
They have not been invited,neg
She has not come,neg
I cannot go,neg
He is not at home,neg
He is never at home,neg
I do not like to read science fiction,neg
Dogs do not chase cats,neg
Dogs do not like to chase cats,neg
Pete does not want to talk with Ann,neg
Alice does not work for an insurance company,neg
I do not like this wine very much,neg
I do not enjoy playing with my kids,neg
Sharon does not make models from clay,neg
I do not practice the violin every morning,neg
My brother does not earn two hundred dollars a week,neg
Our team did not play well yesterday,neg
He does not go to school by bus,neg
You do not speak Russian,neg
John does not speak French,neg
We do not have time for a quick drink,neg
It does not rain much in summer,neg
They do not want to come with us,neg
She doesn't like meat,neg
It hurts the worst when the person that made you feel so special yesterday makes you feel so unwanted today,neg
Ignore me I don’t care I’m used to it anyways I’m invisible,neg
I’m sick of crying myself to sleep,neg
I’m sick of hating everything,neg
I’m sick of faking a smile,neg
I’m sick of feeling this way,neg
I’m sick of letting people down,neg
I’m not good enough,neg
I’m a failure,neg
I am too old,neg
I need to wait until I get everything together,neg
I’m not smart enough,neg
I can’t play,neg
